"filename", "language", "Markdown", "XML", "JavaScript", "PostCSS", "JSON", "Python", "pip requirements", "HTML", "comment", "blank", "total"
"c:\Files\RMS-site\backend\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\api\admin.py", "Python", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 4
"c:\Files\RMS-site\backend\api\apps.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 7
"c:\Files\RMS-site\backend\api\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\api\models.py", "Python", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 4
"c:\Files\RMS-site\backend\api\permissions.py", "Python", 0, 0, 0, 0, 0, 22, 0, 0, 0, 9, 31
"c:\Files\RMS-site\backend\api\tests.py", "Python", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 4
"c:\Files\RMS-site\backend\api\urls.py", "Python", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Files\RMS-site\backend\api\views.py", "Python", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 4
"c:\Files\RMS-site\backend\documentation\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\documentation\admin.py", "Python", 0, 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"c:\Files\RMS-site\backend\documentation\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\documentation\api\serializers.py", "Python", 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Files\RMS-site\backend\documentation\api\urls.py", "Python", 0, 0, 0, 0, 0, 8, 0, 0, 2, 2, 12
"c:\Files\RMS-site\backend\documentation\api\views.py", "Python", 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"c:\Files\RMS-site\backend\documentation\apps.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 7
"c:\Files\RMS-site\backend\documentation\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 39, 0, 0, 1, 7, 47
"c:\Files\RMS-site\backend\documentation\migrations\0002_alter_documentation_updated_date.py", "Python", 0, 0, 0, 0, 0, 12, 0, 0, 1, 6, 19
"c:\Files\RMS-site\backend\documentation\migrations\0003_remove_documentation_is_confidentional_and_more.py", "Python", 0, 0, 0, 0, 0, 18, 0, 0, 1, 6, 25
"c:\Files\RMS-site\backend\documentation\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\documentation\models.py", "Python", 0, 0, 0, 0, 0, 23, 0, 0, 2, 6, 31
"c:\Files\RMS-site\backend\documentation\tests.py", "Python", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 4
"c:\Files\RMS-site\backend\documentation\views.py", "Python", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 4
"c:\Files\RMS-site\backend\employees\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\employees\admin.py", "Python", 0, 0, 0, 0, 0, 46, 0, 0, 2, 9, 57
"c:\Files\RMS-site\backend\employees\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\employees\api\serializers.py", "Python", 0, 0, 0, 0, 0, 34, 0, 0, 0, 7, 41
"c:\Files\RMS-site\backend\employees\api\urls.py", "Python", 0, 0, 0, 0, 0, 8, 0, 0, 2, 2, 12
"c:\Files\RMS-site\backend\employees\api\views.py", "Python", 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\Files\RMS-site\backend\employees\apps.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 7
"c:\Files\RMS-site\backend\employees\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 108, 0, 0, 1, 7, 116
"c:\Files\RMS-site\backend\employees\migrations\0002_alter_clearancelevel_options_clearancelevel_number_and_more.py", "Python", 0, 0, 0, 0, 0, 27, 0, 0, 1, 6, 34
"c:\Files\RMS-site\backend\employees\migrations\0003_remove_clearancelevel_name_alter_division_department.py", "Python", 0, 0, 0, 0, 0, 17, 0, 0, 1, 6, 24
"c:\Files\RMS-site\backend\employees\migrations\0004_alter_position_options.py", "Python", 0, 0, 0, 0, 0, 11, 0, 0, 1, 6, 18
"c:\Files\RMS-site\backend\employees\migrations\0005_alter_division_options_alter_division_department_and_more.py", "Python", 0, 0, 0, 0, 0, 37, 0, 0, 1, 6, 44
"c:\Files\RMS-site\backend\employees\migrations\0006_employee_is_active.py", "Python", 0, 0, 0, 0, 0, 12, 0, 0, 1, 6, 19
"c:\Files\RMS-site\backend\employees\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\employees\models.py", "Python", 0, 0, 0, 0, 0, 68, 0, 0, 7, 22, 97
"c:\Files\RMS-site\backend\employees\tests.py", "Python", 0, 0, 0, 0, 0, 100, 0, 0, 1, 19, 120
"c:\Files\RMS-site\backend\employees\views.py", "Python", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 4
"c:\Files\RMS-site\backend\manage.py", "Python", 0, 0, 0, 0, 0, 15, 0, 0, 3, 5, 23
"c:\Files\RMS-site\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 15
"c:\Files\RMS-site\backend\research\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\research\admin.py", "Python", 0, 0, 0, 0, 0, 29, 0, 0, 0, 3, 32
"c:\Files\RMS-site\backend\research\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\research\api\serializers.py", "Python", 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"c:\Files\RMS-site\backend\research\api\urls.py", "Python", 0, 0, 0, 0, 0, 8, 0, 0, 2, 2, 12
"c:\Files\RMS-site\backend\research\api\views.py", "Python", 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"c:\Files\RMS-site\backend\research\apps.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 7
"c:\Files\RMS-site\backend\research\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 41, 0, 0, 1, 7, 49
"c:\Files\RMS-site\backend\research\migrations\0002_alter_research_options_and_more.py", "Python", 0, 0, 0, 0, 0, 25, 0, 0, 1, 6, 32
"c:\Files\RMS-site\backend\research\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\research\models.py", "Python", 0, 0, 0, 0, 0, 26, 0, 0, 2, 6, 34
"c:\Files\RMS-site\backend\research\tests.py", "Python", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 4
"c:\Files\RMS-site\backend\research\views.py", "Python", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 4
"c:\Files\RMS-site\backend\secret_lab\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Files\RMS-site\backend\secret_lab\asgi.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 8, 5, 17
"c:\Files\RMS-site\backend\secret_lab\settings.py", "Python", 0, 0, 0, 0, 0, 106, 0, 0, 22, 35, 163
"c:\Files\RMS-site\backend\secret_lab\urls.py", "Python", 0, 0, 0, 0, 0, 9, 0, 0, 16, 2, 27
"c:\Files\RMS-site\backend\secret_lab\wsgi.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 8, 5, 17
"c:\Files\RMS-site\frontend\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Files\RMS-site\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 17545, 0, 0, 0, 0, 1, 17546
"c:\Files\RMS-site\frontend\package.json", "JSON", 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 40
"c:\Files\RMS-site\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Files\RMS-site\frontend\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Files\RMS-site\frontend\src\App.css", "PostCSS", 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Files\RMS-site\frontend\src\App.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Files\RMS-site\frontend\src\App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Files\RMS-site\frontend\src\index.css", "PostCSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Files\RMS-site\frontend\src\index.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Files\RMS-site\frontend\src\logo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Files\RMS-site\frontend\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Files\RMS-site\frontend\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 38, 1, 55, 45, 17609, 1034, 15, 20, 127, 330, 19274